Porosity (%)	Depth (m)
6.790299572	3038.213931
7.817403709	3038.361081
2.282453638	2871.378996
1.940085592	2857.003299
5.363766049	2860.359127
5.991440799	2866.179711
15.97717546	2873.340991
16.83309558	2867.732956
17.57489301	2867.839231
20.37089872	2564.514876
20.82738944	2533.061652
22.53922967	2567.690855
23.68045649	2533.4704
24.47931526	2533.58485
25.56348074	2533.740175
19.28673324	2532.840927
18.94436519	2532.791877
21.62624822	2415.697591
24.19400856	2353.028216
21.56918688	2283.884259
16.77603424	2566.865182
16.83309558	2532.489403
14.7788873	2649.673614
14.15121255	2649.583689
13.35235378	2649.46924
12.38231098	2652.195595
11.86875892	2652.12202
11.12696148	2652.015745
11.52639087	2652.07297
5.820256776	2677.043438
6.04850214	2645.557513
4.907275321	2656.855332
4.336661912	2651.042923
2.510699001	2656.511982
1.141226819	2538.837273
1.997146933	2533.229239
4.336661912	2536.429742
4.736091298	2536.486967
5.021398003	2499.278558
5.991440799	2496.552203
6.105563481	2536.683166
7.303851641	2536.854841
7.817403709	2536.928416
8.673323823	2531.320381
0.970042796	2375.488966
1.19828816	2286.696451
4.507845934	2358.803837
3.594864479	2341.481061
4.393723252	2284.28892
3.594864479	2307.097106
2.168330956	2137.838291
2.510699001	2137.887341
3.309557775	2140.86712
1.768901569	2137.781066
5.991440799	1780.219825
3.823109843	1728.333245
7.87446505	1769.028281
9.586305278	1789.330837
8.616262482	1883.747737
10.44222539	1884.009336
11.12696148	1889.838095
11.92582026	1889.952544
12.2681883	1878.540276
12.83880171	1878.622026
13.18116976	1884.401735
14.20827389	1887.414214
15.34950071	1881.847054
16.49072753	1882.010554
17.23252496	1916.500783
16.94721826	1993.823805
17.9743224	1885.088433
18.43081312	1885.153833
19.5149786	1879.578498
21.39800285	1879.848272
24.65049929	1785.758372
25.5064194	1765.82369
25.16405136	1725.660027
27.44650499	1731.717685
27.21825963	1731.684985
26.87589158	1731.635936
26.19115549	1748.729813
26.19115549	1731.537836
25.73466476	1725.741777
28.18830243	1577.096166
29.50071327	1574.418861
29.95720399	1560.157614
30.29957204	1577.398641
31.09843081	1568.917102
31.55492154	1560.386513
31.72610556	1577.603015
36.29101284	1512.354434
35.32097004	1515.080789
11.0128388	2136.240083
9.643366619	2138.909213
12.38231098	2004.631125
11.81169757	2004.549375
10.89871612	1998.687916
10.38516405	1995.749012
9.015691869	2001.283471
8.5021398	2001.209897
14.32239658	2130.983572
14.32239658	2194.020822
15.23537803	2194.151621
23.62339515	1456.098329
22.65335235	1501.804626
22.19686163	1521.796533
21.05563481	1518.767704
20.71326676	1570.294585
21.39800285	1573.258015
21.96861626	1559.013117
22.53922967	1553.364207
22.42510699	1582.001153
22.53922967	1570.556185
18.65905849	1564.269627
19.34379458	1567.233056
7.931526391	2786.228433
8.330955777	2786.285658
7.589158345	2869.273939
7.817403709	2869.306639
8.159771755	2869.355689
8.616262482	2863.69043
8.958630528	2875.200798
9.529243937	2863.82123
9.757489301	2863.85393
10.21398003	2863.919329
11.0128388	2869.764438
11.58345221	2864.115529
12.03994294	2864.180929
12.2681883	2864.213629
12.72467903	2864.279028
13.46647646	2861.519974
13.58059914	2875.862971
13.98002853	2864.458878
14.32239658	2864.507928
9.07275321	2783.526603
9.415121255	2783.575653
9.643366619	2783.608353
10.09985735	2783.673753
10.55634807	2783.739153
11.0128388	2778.073894
11.35520685	2778.122943
11.69757489	2778.171993
6.790299572	2668.586424
7.018544936	2668.619124
7.360912981	2662.937515
7.703281027	2668.717223
7.931526391	2668.749923
8.5021398	2668.831673
9.07275321	2651.721446
9.300998573	2663.215464
9.643366619	2668.995173
9.643366619	2646.072537
9.985734665	2651.852245
1.768901569	2306.835507
1.768901569	2295.374189
2.339514979	2295.455939
2.339514979	2312.647916
2.910128388	2301.268348
2.910128388	2289.80703
3.366619116	2295.603089
5.420827389	2353.203978
5.763195435	2341.79171
5.877318117	2381.922673
6.105563481	2318.918124
6.562054208	2301.791546
6.105563481	2278.80351
5.649072753	2278.738111
5.649072753	2290.199429
5.649072753	2301.660747
7.2467903	2382.118872
8.159771755	2387.980331
9.415121255	2399.621499
9.871611983	2371.033603
9.757489301	2342.363958
8.159771755	2365.057695
7.360912981	2359.212586
7.132667618	2347.718568
7.132667618	2319.065273
7.703281027	2296.224387
8.045649073	2284.812119
8.616262482	2284.893868
8.958630528	2284.942918
9.415121255	2273.547
9.415121255	2325.122931
8.159771755	2324.943082
8.730385164	2319.294172
8.730385164	2342.216809
9.186875892	2348.012867
9.529243937	2302.216645
9.985734665	2285.090068
10.21398003	2308.045404
10.55634807	2279.441159
8.958630528	2491.246643
9.186875892	2491.279343
9.529243937	2497.059052
10.44222539	2491.459193
10.67047076	2491.491892
11.58345221	2491.622692
11.81169757	2503.11671
12.15406562	2491.704442
12.72467903	2508.978169
12.83880171	2508.994519
12.83880171	2491.802542
13.40941512	2497.61495
14.09415121	2509.174368
14.09415121	2486.251732
14.43651926	2497.7621
15.23537803	2509.337868
14.89300999	2537.942113
14.55064194	2537.893063
14.7788873	2566.579058
15.80599144	2509.419617
16.37660485	2503.770708
11.0128388	2399.850398
11.0128388	2382.658421
11.0128388	2359.735785
