TVDBML (m)	Formation pressure (MPa)	Aquifer
2173.414	21.58348	Group K
2180.677	21.48496	Group K
2182.015	21.50047	Group K
2198.746	21.89672	Group K
2219.317	22.22504	Group K
2225.97	22.26	Group K
2248.44	22.34929	Group K
2259.574	22.44795	Group K
2261.713	22.46601	Group K
2276.4	22.61446	Group K
2284.583	22.67879	Group K
2293.567	22.76001	Group K
2296.83	22.78938	Group K
2306.606	22.88184	Group K
2309.372	22.90797	Group K
2311.486	22.92707	Group K
2319.203	22.99891	Group K
2322.043	23.02263	Group K
2328.936	23.08454	Group K
2334.201	23.13632	Group K
2340.839	23.24616	Group K
2351.613	23.34041	Group K
2367.839	23.54049	Group K
2387.802	23.68956	Group K
2397.176	23.76892	Group K
2711.964	37.33015	Group L
2715.395	40.72761	Group L
2716.157	37.50486	Group L
1239.484	12.88354	Group H
1258.983	13.16485	Group H
1341.482	13.915	Group H
1384.182	14.37212	Group H
1476.781	15.28912	Group I
1497.781	15.87656	Group I
1551.781	16.0965	Group I
1555.481	16.10133	Group I
1617.781	16.66118	Group I
1661.981	17.35893	Group I
1691.481	17.50441	Group I
1715.981	17.99394	Group I
1727.981	18.01255	Group I
1733.981	18.0229	Group I
1736.781	18.02634	Group I
1759.98	18.00221	Group I
1778.98	18.24077	Group I
1786.98	18.25318	Group I
1793.48	18.26352	Group I
1830.98	19.31153	Group I
1867.679	19.50734	Group I
1874.479	19.55077	Group I
1945.979	20.58637	Group J
1958.778	20.75322	Group J
1964.578	20.82424	Group J
1966.378	20.85319	Group J
1967.978	20.93041	Group J
1978.978	21.26343	Group J
2313.953	26.37796	Group K
2319.752	26.37245	Group K
2335.952	26.44967	Group K
2346.152	26.49241	Group K
2376.951	27.17982	Group K
2385.45	27.20326	Group K
2393.45	27.22119	Group K
2409.949	27.54869	Group K
2415.949	27.60109	Group K
2429.948	32.0951	Group K
2440.447	29.31168	Group K
2443.947	28.74493	Group K
2444.547	29.88257	Group K
2447.247	29.3103	Group K
2447.447	29.0876	Group K
2448.647	29.02486	Group K
2450.647	28.85042	Group K
2451.747	28.99728	Group K
2472.945	28.64013	Group K
2474.245	28.16371	Group K
2496.143	28.47535	Group K
2496.543	28.49948	Group K
2496.643	28.61324	Group K
2501.942	28.6491	Group K
2502.942	29.1731	Group K
2527.44	29.38546	Group K
2562.935	33.22446	Group K
3472.773	64.41813	Group M
3473.993	67.22388	Group M
3573.819	70.32652	Group M
2373.982	47.36698	Group H
2427.746	49.60778	Group H
2429.146	49.59399	Group H
2431.976	49.60088	Group H
2439.115	49.62846	Group H
2585.185	52.35189	Group H
2604.723	53.03447	Group H
2605.613	53.11032	Group H
2606.183	53.08274	Group H
1066.957	11.31678	Group A/B
1103.987	11.59153	Group A/B
1191.007	12.60975	Group A/B
1194.977	12.6123	Group A/B
1207.477	12.61941	Group A/B
1209.977	12.62527	Group A/B
1317.026	13.49173	Group D
1325.996	13.57695	Group D
1368.976	13.98808	Group D
1460.985	14.87661	Group D
1465.015	14.91453	Group D
1488.994	15.14744	Group D
1606.477	16.5086	Group E
1610.487	16.51418	Group E
1618.376	16.52294	Group E
1736.931	17.74242	Group E
1739.97	17.74166	Group E
1741.95	17.7449	Group E
1771.734	18.20857	Group E
1773.733	18.22553	Group E
1853.914	19.41281	Group E
1932.435	22.64397	Group E
2120.359	33.92413	Group E
911.09	9.752634	Group A/B
927.11	9.90618	Group E
946.07	10.09062	Group E
1030.08	10.89978	Group E
1035.6	10.9546	Group E
1337.07	13.8808	Group H
1343.55	13.94561	Group H
1351.09	14.01235	Group H
1557.06	16.18661	Group I
1566.6	16.19613	Group I
1612.12	16.54769	Group I
1683.12	17.23455	Group I
1688.62	17.28571	Group I
1692.09	17.31784	Group I
1773.59	18.16293	Group I
1862.08	19.00519	Group I
1867.09	19.17811	Group I
1877.06	19.27409	Group I
1888.57	19.16239	Group I
1921.08	19.64737	Group I
1931.61	19.69846	Group I
1932.11	19.69398	Group I
2137.09	21.47338	Group J
2151.09	21.78433	Group J
2383	25.10009	Group K
2386.2	25.14159	Group K
2445	26.1161	Group K
2446.5	26.20125	Group K
2460	26.2611	Group K
2464	26.09955	Group K
2465.5	26.11576	Group K
2482	26.41664	Group K
2511.2	27.13659	Group K
2526.5	27.32861	Group K
2592.57	26.75359	Group K
2593.06	26.77283	Group K
2604.55	26.68285	Group K
2765.57	35.20994	Group K
2882.09	34.17069	Group L
2895.59	34.59183	Group L
1020.954	16.6646	Group E
1619.137	14.60238	Group H
1646.436	14.77337	Group H
1648.436	16.85489	Group H
1712.934	17.46715	Group H
1841.932	18.81232	Group I
1844.132	18.87092	Group I
1865.732	18.91091	Group I
1868.732	18.93987	Group I
1874.732	19.06053	Group I
1874.932	19.07087	Group I
1882.131	19.06742	Group I
1898.731	18.92815	Group I
1925.63	19.48731	Group I
1927.33	19.52455	Group I
1957.329	19.99408	Group I
1962.928	20.01545	Group I
1962.928	20.01338	Group I
1993.526	20.19954	Group I
1996.725	20.15955	Group I
1999.925	20.17127	Group I
2003.325	20.17679	Group I
2006.225	20.17127	Group I
2010.924	20.28297	Group I
2077.318	21.06208	Group I
2077.418	21.0538	Group I
2077.418	21.0538	Group I
2088.917	21.1586	Group I
2089.517	21.16343	Group I
2098.717	21.20756	Group I
2099.917	21.30891	Group I
2103.916	21.2048	Group I
2118.715	21.5716	Group I
2129.915	21.5909	Group I
2139.914	21.95081	Group I
2147.914	21.77086	Group I
2167.113	21.94392	Group I
2208.912	21.7743	Group I
2249.412	21.79223	Group I
2311.111	23.34424	Group J
2311.211	23.35389	Group J
2314.411	23.35458	Group J
2314.611	23.37665	Group J
2349.91	23.69656	Group J
2470.603	24.86867	Group J
2515.899	25.50644	Group J
2532.898	25.62847	Group J
2533.898	25.54091	Group J
2616.894	26.18626	Group K
2619.894	26.18695	Group K
2631.093	26.2097	Group K
2636.392	26.22349	Group K
2640.892	26.2621	Group K
2662.091	26.45654	Group K
2677.489	22.47412	Group K
2707.187	27.19014	Group K
2712.087	27.18324	Group K
2735.884	27.42939	Group K
2738.084	27.47558	Group K
2748.283	27.4611	Group K
2795.278	27.71483	Group K
2795.678	27.92719	Group K
2804.577	27.87203	Group K
2804.577	27.86651	Group K
2812.877	27.92925	Group K
2816.177	27.9458	Group K
2816.177	27.92925	Group K
2830.376	28.30364	Group K
2835.876	28.30433	Group K
2846.875	28.34294	Group K
2856.975	28.41878	Group K
2870.375	28.62494	Group K
2899.874	29.43438	Group K
2903.874	25.30787	Group K
2953.873	36.36775	Group K
2956.473	36.38981	Group K
3165.456	56.53629	Group L
590.5106	7.047338	Group F
594.029	7.054716	Group F
616.4868	7.355396	Group F
616.624	7.401384	Group F
616.624	7.21033	Group F
616.6457	7.055198	Group F
909.3117	10.11344	Group H
910.574	10.10978	Group H
912.8706	10.16715	Group H
930.1206	10.11123	Group H
930.9539	10.1113	Group H
931.771	10.11185	Group H
1123	11.96427	Group H
1123.654	11.97068	Group H
1123.67	11.93489	Group H
1296.867	13.60825	Group I
1346.875	14.06227	Group I
1548.868	16.35402	Group I
1549.726	16.35533	Group I
1550.601	16.35774	Group I
1572.665	16.42049	Group I
1574.026	16.42897	Group I
1574.962	16.434	Group I
1579.616	16.45992	Group I
1635.721	17.08983	Group I
1657.623	17.30453	Group I
1658.658	17.31301	Group I
1660.478	17.33149	Group I
1848.846	20.31306	Group I
1852.407	20.31892	Group I
1857.302	20.32685	Group I
1885.57	22.33274	Group I
1887.1	22.32647	Group I
1889.257	22.35487	Group I
1903.929	22.89425	Group I
1905.874	22.89921	Group I
1949.511	24.85077	Group I
2135.674	30.50572	Group J
604.4925	7.021966	Group F
626.8024	7.032652	Group F
667.4622	7.340641	Group F
685.2721	7.518664	Group F
703.382	7.725782	Group F
947.3908	10.3844	Group H
1053.37	11.28203	Group H
1081.74	11.58947	Group H
1173.561	12.4811	Group H
1176.829	12.53481	Group H
1274.506	13.38858	Group H
1362.437	14.47589	Group I
1620.268	16.80921	Group I
1629.258	16.91022	Group I
1657.843	17.21131	Group I
1676.24	17.64265	Group I
1695.728	17.61038	Group I
1744.213	18.12246	Group I
1801.815	18.7585	Group I
1805.925	18.78284	Group I
1828.513	19.03505	Group I
1831.496	19.11723	Group I
1942.53	21.01488	Group I
1943.91	21.02239	Group I
1946.424	21.04783	Group I
1977.736	23.5256	Group I
1979.51	23.53395	Group I
1993.116	23.72996	Group I
1997.006	23.69549	Group I
2036.441	25.40339	Group I
2205.299	31.15927	Group J
2220.126	31.4403	Group J
2220.935	31.44699	Group J
982.9863	10.60827	Group A/B
983.4863	10.53312	Group A/B
989.3862	10.88406	Group A/B
1015.986	11.64593	Group A/B
1044.986	11.51218	Group D
1050.986	11.62318	Group D
1062.986	11.68041	Group D
1067.985	11.68041	Group D
1083.985	11.50873	Group D
1083.985	11.50459	Group D
1105.985	11.50114	Group D
1111.985	11.69558	Group D
1137.884	11.95413	Group D
1161.984	12.01894	Group D
